"created per month",filters,filters,Count
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1604.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1605.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1606.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1607.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1608.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1609.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1610.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1611.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1612.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1701.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1702.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1703.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1704.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1705.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1706.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1707.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1708.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1709.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1710.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1711.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1712.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1801.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1802.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1803.total",0
"2015-02-01 00:00:00","first_app:topfacemobappandroid","*","4,980"
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1501.total",0
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1502.total",56
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1503.total",40
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1504.total",21
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1505.total",26
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1506.total",16
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1507.total",15
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1508.total",11
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1509.total",12
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1510.total",7
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1511.total",12
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1512.total",4
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1601.total",5
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1602.total",2
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1603.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1604.total",6
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1605.total",5
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1606.total",5
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1607.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1608.total",1
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1609.total",1
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1610.total",1
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1611.total",0
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1612.total",0
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1701.total",9
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1702.total",7
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1703.total",4
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1704.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1705.total",4
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1706.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1707.total",4
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1708.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1709.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1710.total",5
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1711.total",5
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1712.total",4
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1801.total",6
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1802.total",3
"2015-02-01 00:00:00","first_app:topfacemobappandroid","_exists_:revenue_in_month.1803.total",1
"2015-02-01 00:00:00","first_app:topfacemobappios","*","5,416"
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1501.total",0
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1502.total",176
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1503.total",136
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1504.total",79
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1505.total",61
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1506.total",46
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1507.total",44
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1508.total",33
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1509.total",28
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1510.total",21
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1511.total",20
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1512.total",22
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1601.total",19
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1602.total",16
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1603.total",9
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1604.total",10
"2015-02-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1605.total",12
